challenge_id,user_id,type,date
61,37,correct,2019-11-20 18:16:02
62,37,correct,2019-11-20 18:16:11
63,37,correct,2019-11-20 18:16:40
17,26,correct,2019-11-20 18:16:43
64,37,correct,2019-11-20 18:17:24
65,37,correct,2019-11-20 18:17:35
66,37,correct,2019-11-20 18:17:59
14,32,correct,2019-11-20 18:18:06
67,37,correct,2019-11-20 18:18:27
17,22,correct,2019-11-20 18:19:13
21,35,correct,2019-11-20 18:19:16
76,11,correct,2019-11-20 18:19:20
75,11,correct,2019-11-20 18:20:05
31,38,correct,2019-11-20 18:20:21
67,11,correct,2019-11-20 18:21:20
7,37,correct,2019-11-20 18:21:33
32,38,correct,2019-11-20 18:21:35
68,11,correct,2019-11-20 18:21:41
11,32,correct,2019-11-20 18:21:42
52,26,correct,2019-11-20 18:21:44
69,11,correct,2019-11-20 18:21:51
65,11,correct,2019-11-20 18:22:11
53,26,correct,2019-11-20 18:22:51
19,32,correct,2019-11-20 18:22:53
9,22,correct,2019-11-20 18:23:18
1,40,correct,2019-11-20 18:23:18
74,26,correct,2019-11-20 18:23:29
10,37,correct,2019-11-20 18:23:31
70,11,correct,2019-11-20 18:23:37
72,26,correct,2019-11-20 18:23:46
63,11,correct,2019-11-20 18:23:53
5,32,correct,2019-11-20 18:23:54
64,11,correct,2019-11-20 18:24:12
73,26,correct,2019-11-20 18:24:12
59,11,correct,2019-11-20 18:24:23
11,37,correct,2019-11-20 18:24:50
57,26,correct,2019-11-20 18:24:52
1,41,correct,2019-11-20 18:24:52
55,26,correct,2019-11-20 18:26:03
13,32,correct,2019-11-20 18:26:03
19,22,correct,2019-11-20 18:27:11
56,26,correct,2019-11-20 18:28:42
5,22,correct,2019-11-20 18:29:39
19,36,correct,2019-11-20 18:30:20
17,32,correct,2019-11-20 18:30:24
4,22,correct,2019-11-20 18:30:58
8,32,correct,2019-11-20 18:31:49
6,22,correct,2019-11-20 18:33:25
33,38,correct,2019-11-20 18:36:04
2,22,correct,2019-11-20 18:36:09
3,22,correct,2019-11-20 18:36:45
1,42,correct,2019-11-20 18:37:23
3,37,correct,2019-11-20 18:37:47
16,32,correct,2019-11-20 18:38:33
28,4,correct,2019-11-20 18:38:45
4,37,correct,2019-11-20 18:38:47
34,38,correct,2019-11-20 18:38:56
15,22,correct,2019-11-20 18:38:59
10,32,correct,2019-11-20 18:39:25
31,43,correct,2019-11-20 18:39:37
40,38,correct,2019-11-20 18:39:38
2,37,correct,2019-11-20 18:40:03
32,43,correct,2019-11-20 18:40:06
5,37,correct,2019-11-20 18:40:20
15,42,correct,2019-11-20 18:40:22
41,38,correct,2019-11-20 18:40:51
33,43,correct,2019-11-20 18:41:00
16,22,correct,2019-11-20 18:42:46
2,31,correct,2019-11-20 18:42:46
52,38,correct,2019-11-20 18:42:53
6,32,correct,2019-11-20 18:43:00
3,31,correct,2019-11-20 18:43:12
35,43,correct,2019-11-20 18:43:21
53,38,correct,2019-11-20 18:43:59
36,43,correct,2019-11-20 18:44:16
2,36,correct,2019-11-20 18:45:45
4,31,correct,2019-11-20 18:45:52
68,37,correct,2019-11-20 18:46:20
5,31,correct,2019-11-20 18:46:31
4,36,correct,2019-11-20 18:47:04
8,37,correct,2019-11-20 18:47:37
1,43,correct,2019-11-20 18:47:57
7,31,correct,2019-11-20 18:48:42
38,43,correct,2019-11-20 18:49:00
20,32,correct,2019-11-20 18:49:08
13,36,correct,2019-11-20 18:49:16
39,43,correct,2019-11-20 18:49:34
10,36,correct,2019-11-20 18:49:51
6,37,correct,2019-11-20 18:50:17
40,43,correct,2019-11-20 18:50:17
7,32,correct,2019-11-20 18:50:25
41,43,correct,2019-11-20 18:50:59
42,43,correct,2019-11-20 18:51:22
15,36,correct,2019-11-20 18:51:34
43,43,correct,2019-11-20 18:51:40
44,43,correct,2019-11-20 18:51:49
